Día,Infectados,En Cuarentena,Total Infectados Activos,Recuperados Hoy,Total Recuperados,Fallecidos Hoy,Total Fallecidos,Nuevos Contagios
0,20,0,20,0,0,0,0,20
1,52,0,52,0,0,0,0,32
2,85,0,85,0,0,0,0,33
3,110,0,110,0,0,0,0,25
4,127,11,138,0,0,0,0,28
5,126,34,160,0,0,1,1,22
6,115,66,181,0,0,2,3,21
7,110,84,194,0,0,5,8,13
8,101,111,212,0,0,4,12,18
9,104,132,236,0,0,5,17,24
10,95,153,248,0,0,4,21,12
11,98,164,262,0,0,8,29,14
12,89,180,269,0,0,7,36,7
13,90,201,291,0,0,4,40,22
14,83,216,299,0,0,5,45,8
15,84,228,312,0,0,9,54,13
16,85,236,321,0,0,7,61,9
17,77,253,330,0,0,7,68,9
18,75,256,331,0,0,6,74,1
19,79,253,332,0,0,8,82,1
20,78,239,317,6,6,9,91,0
21,76,230,306,2,8,9,100,0
22,69,226,295,1,9,10,110,0
23,60,219,279,10,19,6,116,0
24,46,215,261,8,27,10,126,0
25,50,215,265,0,27,2,128,4
26,50,214,264,0,27,5,133,0
27,50,202,252,3,30,9,142,0
28,54,193,247,0,30,8,150,0
29,53,188,241,0,30,12,162,0
