Día,Infectados,En Cuarentena,Total Infectados Activos,Recuperados Hoy,Total Recuperados,Fallecidos Hoy,Total Fallecidos,Nuevos Contagios
0,25,0,25,0,0,0,0,25
1,57,0,57,0,0,0,0,32
2,93,0,93,0,0,0,0,36
3,120,0,120,0,0,0,0,27
4,133,12,145,0,0,1,1,25
5,128,40,168,0,0,3,4,23
6,119,69,188,0,0,6,10,20
7,109,93,202,0,0,2,12,14
8,105,113,218,0,0,2,14,16
9,94,143,237,0,0,2,16,19
10,90,156,246,0,0,9,25,9
11,84,171,255,0,0,7,32,9
12,76,186,262,0,0,4,36,7
13,66,202,268,0,0,7,43,6
14,59,216,275,0,0,6,49,7
15,63,221,284,0,0,8,57,9
16,61,227,288,0,0,8,65,4
17,64,231,295,0,0,8,73,7
18,62,233,295,0,0,7,80,0
19,62,212,274,12,12,9,89,0
20,62,203,265,4,16,5,94,0
21,63,199,262,0,16,4,98,0
22,59,195,254,2,18,6,104,0
23,60,185,245,7,25,2,106,0
24,62,184,246,0,25,7,113,1
25,57,183,240,3,28,3,116,0
26,64,176,240,0,28,7,123,0
27,64,163,227,5,33,8,131,0
28,51,167,218,3,36,6,137,0
29,58,162,220,0,36,9,146,2
