Día,Infectados,En Cuarentena,Total Infectados Activos,Recuperados Hoy,Total Recuperados,Fallecidos Hoy,Total Fallecidos,Nuevos Contagios
0,30,0,30,0,0,0,0,30
1,55,0,55,0,0,0,0,25
2,75,0,75,0,0,0,0,20
3,92,0,92,0,0,0,0,17
4,103,18,121,0,0,0,0,29
5,95,44,139,0,0,2,2,18
6,113,62,175,0,0,1,3,36
7,120,78,198,0,0,1,4,23
8,113,102,215,0,0,3,7,17
9,120,119,239,0,0,4,11,24
10,99,145,244,0,0,7,18,5
11,99,167,266,0,0,6,24,22
12,99,178,277,0,0,6,30,11
13,91,202,293,0,0,7,37,16
14,91,217,308,0,0,4,41,15
15,92,230,322,0,0,6,47,14
16,83,245,328,0,0,9,56,6
17,83,259,342,0,0,6,62,14
18,89,250,339,0,0,11,73,0
19,76,236,312,11,11,16,89,0
20,70,225,295,3,14,14,103,0
21,67,227,294,0,14,8,111,0
22,55,229,284,2,16,8,119,0
23,46,219,265,10,26,9,128,0
24,49,197,246,8,34,11,139,0
25,49,194,243,0,34,7,146,0
26,44,191,235,0,34,8,154,0
27,44,178,222,7,41,6,160,0
28,49,166,215,1,42,6,166,0
29,51,161,212,0,42,6,172,0
